Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,15.8,,,13.5,18.2,953819,34003,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-74.0747272 40.9596985),487
2020,NJ,New Jersey,Cumberland,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,15.7,,,11.5,20.3,153627,34011,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Sussex,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,9.1,,,7.0,11.6,145543,34037,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-74.6919141 41.1374609),2586
2021,NJ,New Jersey,Cumberland,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,32.4,,,28.2,36.8,153627,34011,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Gloucester,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,32.4,,,28.7,36.2,304477,34015,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Atlantic,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.9,,,6.0,7.9,274966,34001,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Camden,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.9,,,5.1,6.8,523771,34007,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-74.9612493 39.8024071),2448
2020,NJ,New Jersey,Sussex,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,83.9,,,81.5,86.5,145543,34037,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-74.6919141 41.1374609),2586
2021,NJ,New Jersey,Essex,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.9,,,4.9,6.9,854917,34013,HLTHOUT,COPD,CrdPrv,COPD,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Hunterdon,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,24.8,,,21.3,28.4,129924,34019,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Passaic,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,5.5,,,4.6,6.5,518117,34031,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Salem,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,7.7,,,6.5,8.9,65046,34033,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-75.3573559 39.5738282),2494
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,,,5.3,6.4,953819,34003,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Cumberland,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,19.1,,,15.7,22.8,153627,34011,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Camden,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.3,,,13.2,17.4,523771,34007,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Ocean,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.6,3.6,648998,34029,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Camden,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,15.9,,,13.4,18.6,523771,34007,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Union,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,5.3,,,4.6,6.0,572114,34039,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-74.3086957 40.6598707),2532
2021,NJ,New Jersey,Atlantic,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,16.7,,,14.3,19.2,274966,34001,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Cumberland,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,15.1,,,13.0,17.4,153627,34011,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Mercer,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,14.2,,,12.0,16.7,385898,34021,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Morris,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.8,,,23.0,29.1,510981,34027,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Mercer,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.7,3.5,385898,34021,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Hudson,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.4,,,3.0,4.0,702463,34017,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Sussex,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,9.4,,,7.8,11.1,145543,34037,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-74.6919141 41.1374609),2586
2020,NJ,New Jersey,Gloucester,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,69.1,,,66.1,71.8,304477,34015,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Gloucester,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.8,,,8.3,11.5,304477,34015,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Ocean,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,14.2,,,11.0,17.7,648998,34029,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Camden,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,12.2,,,9.7,14.9,523771,34007,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Monmouth,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.3,6.2,645354,34025,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Middlesex,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.4,,,27.4,33.6,860807,34023,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Union,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,26,,,22.9,29.5,572114,34039,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-74.3086957 40.6598707),2532
2021,NJ,New Jersey,Warren,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,12.3,,,10.3,14.6,110731,34041,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Hunterdon,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,8.7,,,7.0,10.6,129924,34019,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Salem,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.4,,,4.7,6.3,65046,34033,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-75.3573559 39.5738282),2494
2021,NJ,New Jersey,Somerset,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.7,,,10.0,13.5,345647,34035,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Passaic,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.4,,,13.2,17.9,518117,34031,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Mercer,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,,,5.3,6.5,385898,34021,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Ocean,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.7,,,3.9,5.6,648998,34029,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.6,,,3.8,5.6,953819,34003,HLTHOUT,COPD,CrdPrv,COPD,POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Cumberland,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,12,,,10.3,13.9,153627,34011,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Somerset,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.9,,,7.0,11.0,345647,34035,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Middlesex,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,75.4,,,72.0,78.7,860807,34023,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Middlesex,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,10.1,,,8.6,11.7,860807,34023,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Burlington,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.0,5.9,464269,34005,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-74.6630063 39.8757858),2447
2021,NJ,New Jersey,Somerset,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,,,5.2,6.4,345647,34035,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Passaic,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,11.3,,,9.8,12.9,518117,34031,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Camden,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.3,,,9.7,13.0,523771,34007,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Cumberland,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,7,,,6.1,7.9,153627,34011,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Camden,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,26.5,,,22.3,30.6,523771,34007,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Morris,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,17.6,,,15.0,20.7,510981,34027,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Gloucester,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,11,,,9.3,13.0,304477,34015,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Bergen,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.1,,,8.5,11.7,953819,34003,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Morris,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,18,,,14.8,21.6,510981,34027,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Warren,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,10,,,8.5,11.6,110731,34041,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Cape May,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.8,,,26.0,38.7,95661,34009,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.8463541 39.0858411),2449
2021,NJ,New Jersey,Passaic,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.2,,,2.8,3.6,518117,34031,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Sussex,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,36.7,,,32.4,41.4,145543,34037,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-74.6919141 41.1374609),2586
2021,NJ,New Jersey,Somerset,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,8.7,,,7.2,10.3,345647,34035,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Salem,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,7.8,,,6.4,9.4,65046,34033,HLTHOUT,COPD,CrdPrv,COPD,POINT (-75.3573559 39.5738282),2494
